vertex1_x,vertex1_y,vertex2_x,vertex2_y,vertex3_x,vertex3_y,vertex4_x,vertex4_y,Area,Areal Frequency B20,Areal Frequency P20,Branch Mean Length,Branch Min Length,Branch Max Length,Connections per Branch,Connections per Trace,Connection Frequency,Dimensionless Intensity B22,Dimensionless Intensity P22,Fracture Density (Mauldon),Fracture Intensity B21,Fracture Intensity (Mauldon),Fracture Intensity P21,Number of Branches,Number of Branches (Real),Number of Traces,Number of Traces (Real),Trace Mean Length,Trace Min Length,Trace Max Length,Trace Mean Length (Mauldon)
14588402.02,4544666.66,14589152.02,4544666.66,14589152.02,4543916.66,14588402.02,4543916.66,3969694.1833468685,8.81680008168572e-07,8.81680008168572e-07,655.7016616370066,223.88647627972864,898.2135710559979,0.0,0.0,0.0,0.37907361934078526,0.3316894169231871,,0.0005781190463882622,,0.0005781190463882622,3.5,4,3.5,4,573.7389539323808,223.88647627972864,898.2135710559979,
14588402.02,4543916.66,14589152.02,4543916.66,14589152.02,4543166.66,14588402.02,4543166.66,3969694.1833468685,5.038171475248984e-07,5.038171475248984e-07,759.9104513168129,245.67950324986452,707.5418810115973,0.0,0.0,0.0,0.2909362118840397,0.1939574745893598,,0.00038285591595679477,,0.00038285591595679477,2.0,3,2.0,3,506.60696754454193,245.67950324986452,707.5418810115973,
14588402.02,4543166.66,14589152.02,4543166.66,14589152.02,4542416.66,14588402.02,4542416.66,3969694.1833468685,1.3854971556934704e-06,8.81680008168572e-07,484.57835900064015,55.79281637592384,747.1546121822214,0.7272727272727273,0.5714285714285714,2.519085737624492e-07,0.32533715783007305,0.2982257280109003,,0.0006713819381059963,,0.0006713819381059963,5.5,8,3.5,6,444.19682908392014,166.10385011157547,747.1546121822214,
14588402.02,4542416.66,14589152.02,4542416.66,14589152.02,4541666.66,14588402.02,4541666.66,3969694.1833468685,7.557257212873475e-07,7.557257212873475e-07,849.948966249069,45.177861755351984,993.9252532234593,0.0,0.0,0.0,0.5459462708173588,0.32756776249041525,,0.000642328295576013,,0.000642328295576013,3.0,5,3.0,5,509.9693797494414,45.177861755351984,993.9252532234593,
14588402.02,4541666.66,14589152.02,4541666.66,14589152.02,4540916.66,14588402.02,4540916.66,3969694.1833468685,6.297714344061229e-07,6.297714344061229e-07,980.9014477760342,166.10385011157547,1344.2925767016263,0.0,0.0,0.0,0.605945701236557,0.5049547510304642,,0.0006177437117769557,,0.0006177437117769557,2.5,3,2.5,3,817.4178731466951,166.10385011157547,1344.2925767016263,
14588402.02,4540916.66,14589152.02,4540916.66,14589152.02,4540166.66,14588402.02,4540166.66,3969694.1833468685,3.7786286064367375e-07,3.7786286064367375e-07,1472.0514171832845,863.7845490733,1344.2925767016263,0.0,0.0,0.0,0.8188043995637325,0.6141032996727993,,0.0005562335595114498,,0.0005562335595114498,1.5,2,1.5,2,1104.0385628874633,863.7845490733,1344.2925767016263,
14588402.02,4540166.66,14589152.02,4540166.66,14589152.02,4539416.66,14588402.02,4539416.66,3969694.1833468685,1.259542868812246e-07,1.259542868812246e-07,1727.5690981466,863.7845490733,863.7845490733,0.0,0.0,0.0,0.37590993802384226,0.18795496901192113,,0.0002175947337950953,,0.0002175947337950953,0.5,1,0.5,1,863.7845490733,863.7845490733,863.7845490733,
14588402.02,4539416.66,14589152.02,4539416.66,14589152.02,4538666.66,14588402.02,4538666.66,3969694.1833468685,1.259542868812246e-07,1.259542868812246e-07,1727.5690981466,863.7845490733,863.7845490733,0.0,0.0,0.0,0.37590993802384226,0.18795496901192113,,0.0002175947337950953,,0.0002175947337950953,0.5,1,0.5,1,863.7845490733,863.7845490733,863.7845490733,
14588402.02,4538666.66,14589152.02,4538666.66,14589152.02,4537916.66,14588402.02,4537916.66,3969694.1833468685,1.259542868812246e-07,1.259542868812246e-07,598.0641051596006,299.0320525798003,299.0320525798003,0.0,0.0,0.0,0.04505141420979581,0.022525707104897905,,7.53287378746352e-05,,7.53287378746352e-05,0.5,1,0.5,1,299.0320525798003,299.0320525798003,299.0320525798003,
14588402.02,4537916.66,14589152.02,4537916.66,14589152.02,4537166.66,14588402.02,4537166.66,3969694.1833468685,1.259542868812246e-07,1.259542868812246e-07,598.0641051596006,299.0320525798003,299.0320525798003,0.0,0.0,0.0,0.04505141420979581,0.022525707104897905,,7.53287378746352e-05,,7.53287378746352e-05,0.5,1,0.5,1,299.0320525798003,299.0320525798003,299.0320525798003,
