380279.39 5025475.22 1
382162.85 5025014.47 1
382395.0 5024929.76 1
382626.3 5024843.36 1
382856.08 5024753.5 1
383083.65 5024658.43 1
383322.22 5024550.47 1
383557.96 5024436.31 1
383791.6 5024317.5 1
384023.89 5024195.55 1
384255.58 5024072.01 1
386055.32 5025684.66 2
386309.85 5025650.56 2
386564.33 5025616.93 2
386818.79 5025584.27 2
387073.24 5025553.04 2
387327.7 5025523.72 2
387582.18 5025496.8 2
387836.72 5025472.76 2
388091.31 5025452.06 2
388345.99 5025435.2 2
388600.77 5025422.65 2
388855.67 5025414.89 2
389110.7 5025412.39 2
389352.44 5025415.14 2
389594.19 5025422.34 2
389835.96 5025433.29 2
390077.74 5025447.27 2
390319.55 5025463.59 2
390561.39 5025481.53 2
390803.26 5025500.4 2
391045.18 5025519.47 2
391287.14 5025538.05 2
391546.27 5025556.78 2
391805.29 5025574.3 2
392064.25 5025590.78 2
392323.17 5025606.4 2
392582.06 5025621.33 2
392840.97 5025635.74 2
393099.92 5025649.81 2
393358.94 5025663.71 2
387855.06 5026899.38 3
388081.79 5026714.61 3
388310.36 5026533.14 3
388542.76 5026358.19 3
388780.97 5026192.97 3
389026.99 5026040.7 3
389275.38 5025906.74 3
389530.55 5025784.41 3
389790.3 5025669.8 3
390052.43 5025559.0 3
381828.01 5022333.71 4
382077.98 5022321.12 4
382327.48 5022311.27 4
382576.16 5022306.93 4
382823.69 5022310.87 4
383069.7 5022325.85 4
383313.85 5022354.65 4
383550.29 5022398.02 4
383784.51 5022455.17 4
384016.58 5022524.14 4
384246.61 5022602.92 4
384474.67 5022689.52 4
384700.85 5022781.96 4
384925.25 5022878.24 4
385183.52 5022992.59 4
385439.77 5023108.88 4
385694.54 5023226.64 4
385948.37 5023345.39 4
386201.81 5023464.65 4
385615.85 5023087.67 5
385876.82 5023037.23 5
386137.82 5022987.67 5
386399.01 5022939.85 5
386660.57 5022894.62 5
386922.64 5022852.85 5
387185.39 5022815.41 5
387431.64 5022784.82 5
387678.31 5022757.87 5
387925.31 5022733.66 5
388172.6 5022711.25 5
388420.1 5022689.75 5
384130.01 5022480.31 6
384383.93 5022411.82 6
384637.76 5022343.25 6
384891.49 5022274.49 6
385145.1 5022205.44 6
385398.58 5022135.98 6
385651.94 5022066.01 6
385905.14 5021995.43 6
386158.2 5021924.14 6
386411.08 5021852.01 6
386654.18 5021781.8 6
386897.01 5021710.93 6
387139.66 5021639.57 6
387382.24 5021567.87 6
387624.87 5021495.97 6
397188.63 5024993.52 7
397099.21 5024743.26 7
397010.03 5024492.98 7
396921.3 5024242.61 7
396833.23 5023992.07 7
396746.04 5023741.26 7
396659.93 5023490.1 7
396575.12 5023238.51 7
396491.82 5022986.41 7
396410.25 5022733.7 7
396330.61 5022480.31 7
396255.57 5022234.75 7
396182.09 5021988.79 7
396109.62 5021742.51 7
396037.63 5021495.97 7
380363.1 5019380.69 8
380607.91 5019229.1 8
380851.95 5019076.69 8
381094.56 5018922.55 8
381335.06 5018765.77 8
381572.8 5018605.47 8
381807.09 5018440.74 8
382037.28 5018270.69 8
382301.25 5018063.82 8
382559.39 5017849.68 8
382812.63 5017629.36 8
383061.93 5017404.01 8
383308.22 5017174.73 8
383552.45 5016942.65 8
383795.56 5016708.9 8
384038.5 5016474.59 8
384282.21 5016240.85 8
384527.63 5016008.79 8
384776.97 5015778.18 8
385029.15 5015551.06 8
385284.5 5015327.96 8
385543.34 5015109.43 8
385806.02 5014895.97 8
386072.86 5014688.14 8
386344.19 5014486.45 8
386620.36 5014291.43 8
386867.58 5014125.58 8
387118.23 5013964.85 8
387371.89 5013808.7 8
387628.17 5013656.55 8
387886.65 5013507.84 8
388146.92 5013362.0 8
388408.58 5013218.49 8
388671.23 5013076.72 8
388933.49 5012936.74 8
389196.1 5012797.88 8
389459.0 5012659.93 8
389722.16 5012522.69 8
389985.55 5012385.97 8
390249.12 5012249.58 8
390512.83 5012113.32 8
390889.52 5014835.96 9
390839.97 5014595.75 9
390791.75 5014355.49 9
390746.16 5014115.03 9
390704.53 5013874.22 9
390668.17 5013632.88 9
390638.39 5013390.87 9
390616.16 5013148.26 9
390600.96 5012905.07 9
390591.9 5012661.36 9
390588.12 5012417.21 9
390588.73 5012172.66 9
390592.85 5011927.78 9
390599.59 5011682.64 9
390608.09 5011437.29 9
390617.46 5011191.81 9
380321.25 5015631.81 10
380557.48 5015599.46 10
380793.83 5015566.96 10
381030.5 5015534.16 10
381267.69 5015500.87 10
381505.59 5015466.94 10
381744.42 5015432.19 10
381984.37 5015396.45 10
382225.63 5015359.55 10
382463.49 5015320.08 10
382695.91 5015268.04 10
382916.23 5015192.0 10
383170.68 5015049.99 10
383402.78 5014866.03 10
383620.67 5014654.64 10
383832.46 5014430.35 10
384046.3 5014207.66 10
384267.28 5013999.67 10
384497.01 5013806.02 10
384734.49 5013624.99 10
384978.69 5013454.89 10
385228.59 5013293.98 10
385483.17 5013140.57 10
385741.41 5012992.94 10
385965.34 5012869.59 10
386190.74 5012748.8 10
386417.35 5012630.06 10
386644.9 5012512.84 10
386873.1 5012396.62 10
387101.68 5012280.87 10
383355.7 5017035.02 11
383083.65 5015129.17 11
380907.21 5019820.5 12
381147.91 5019746.82 12
381388.8 5019673.8 12
381630.14 5019602.06 12
381872.16 5019532.24 12
382115.13 5019464.98 12
382359.29 5019400.89 12
382604.9 5019340.62 12
382852.21 5019284.8 12
383101.47 5019234.05 12
383352.92 5019189.01 12
383606.83 5019150.31 12
383862.44 5019117.6 12
384118.12 5019086.12 12
384371.43 5019050.11 12
384619.92 5019003.79 12
384861.15 5018941.38 12
385092.67 5018857.1 12
385356.95 5018721.06 12
385606.83 5018552.86 12
385845.95 5018360.54 12
386077.94 5018152.11 12
386306.45 5017935.59 12
385281.01 5021286.54 13
385494.05 5021034.9 13
385701.93 5020780.28 13
385899.55 5020519.54 13
386081.83 5020249.53 13
386243.67 5019967.1 13
386344.68 5019755.51 13
386432.65 5019537.42 13
386507.79 5019314.12 13
386570.3 5019086.92 13
386620.36 5018857.1 13
386660.62 5018609.13 13
386688.3 5018360.01 13
386704.98 5018109.88 13
386712.23 5017858.85 13
386711.62 5017607.08 13
386704.75 5017354.7 13
386693.17 5017101.84 13
386678.46 5016848.63 13
386662.21 5016595.21 13
386139.03 5020511.63 14
386386.37 5020496.86 14
386633.0 5020479.84 14
386878.31 5020458.29 14
387121.69 5020429.94 14
387362.53 5020392.5 14
387600.22 5020343.7 14
387834.14 5020281.25 14
388078.87 5020198.19 14
388319.44 5020100.71 14
388556.94 5019992.4 14
388792.43 5019876.85 14
389026.99 5019757.67 14
384653.19 5016343.89 15
384916.76 5016272.68 15
385180.39 5016203.13 15
385444.2 5016136.93 15
385708.35 5016075.75 15
385972.97 5016021.28 15
386238.19 5015975.2 15
386504.16 5015939.19 15
386771.02 5015914.92 15
387038.9 5015904.08 15
387295.26 5015907.42 15
387551.89 5015923.77 15
387808.17 5015952.44 15
388063.51 5015992.73 15
388317.28 5016043.94 15
388568.89 5016105.38 15
388817.72 5016176.34 15
389064.11 5016256.36 15
389307.3 5016344.13 15
389547.7 5016438.57 15
389785.72 5016538.57 15
390021.76 5016643.03 15
390256.23 5016750.85 15
390489.54 5016860.94 15
390722.1 5016972.19 15
390981.84 5017096.6 15
391242.2 5017219.24 15
391504.55 5017338.31 15
391770.2 5017452.04 15
392040.52 5017558.61 15
392302.21 5017650.1 15
392567.7 5017723.3 15
392835.75 5017768.04 15
393078.61 5017777.66 15
393322.12 5017761.08 15
393566.2 5017723.55 15
393810.72 5017670.31 15
394055.58 5017606.6 15
394300.66 5017537.67 15
386976.12 5019296.91 16
387117.94 5019061.02 16
387261.11 5018826.13 16
387407.06 5018593.15 16
387557.23 5018362.97 16
387713.06 5018136.5 16
387875.99 5017914.65 16
388067.99 5017673.44 16
388271.06 5017441.53 16
388485.86 5017221.03 16
388713.08 5017014.08 16
388969.94 5016808.5 16
389236.62 5016615.09 16
389508.32 5016427.66 16
392982.25 5020700.12 17
393102.69 5020453.88 17
393222.24 5020207.05 17
393340.06 5019958.99 17
393455.33 5019709.01 17
393567.21 5019456.44 17
393674.87 5019200.62 17
393777.48 5018940.87 17
393877.32 5018672.56 17
393978.37 5018405.17 17
394088.09 5018144.19 17
394213.96 5017895.08 17
394363.44 5017663.33 17
394564.83 5017428.61 17
394795.36 5017215.61 17
395045.37 5017017.04 17
395305.17 5016825.59 17
382665.1 5011505.96 18
382906.77 5011466.46 18
383148.44 5011427.78 18
383390.2 5011390.76 18
383632.16 5011356.2 18
383874.42 5011324.94 18
384117.07 5011297.79 18
384360.21 5011275.58 18
384596.64 5011259.33 18
384833.39 5011248.11 18
385070.4 5011241.49 18
385307.63 5011239.07 18
385545.0 5011240.44 18
385782.47 5011245.19 18
386019.96 5011252.9 18
386257.42 5011263.17 18
386494.79 5011275.58 18
386742.99 5011290.47 18
386990.91 5011307.09 18
387238.58 5011325.27 18
387486.05 5011344.83 18
387733.34 5011365.6 18
387980.49 5011387.41 18
388227.53 5011410.09 18
388474.51 5011433.45 18
388721.44 5011457.33 18
388968.37 5011481.56 18
389215.34 5011505.96 18
382539.54 5009306.9 19
382799.92 5009282.2 19
383060.19 5009258.48 19
383320.31 5009236.74 19
383580.27 5009217.97 19
383840.02 5009203.16 19
384099.53 5009193.29 19
384358.76 5009189.37 19
384617.7 5009192.37 19
384876.29 5009203.29 19
385134.52 5009223.12 19
385375.08 5009249.82 19
385615.35 5009281.65 19
385855.58 5009315.13 19
386096.02 5009346.78 19
386336.91 5009373.12 19
386578.5 5009390.67 19
386834.94 5009397.74 19
387091.64 5009398.56 19
387348.13 5009400.68 19
387603.94 5009411.62 19
387871.86 5009438.68 19
388138.55 5009479.27 19
388404.37 5009528.84 19
388669.7 5009582.82 19
388934.91 5009636.68 19
389200.38 5009685.84 19
389466.46 5009725.77 19
389718.97 5009751.74 19
389972.14 5009766.49 19
390225.91 5009771.12 19
390480.23 5009766.78 19
390735.03 5009754.57 19
390990.26 5009735.62 19
391245.86 5009711.06 19
391501.77 5009682.02 19
391757.92 5009649.6 19
392014.25 5009614.94 19
392270.72 5009579.16 19
389592.03 5008050.29 20
389837.31 5008107.23 20
390082.55 5008164.26 20
390327.77 5008221.5 20
390572.99 5008279.04 20
390818.25 5008337.01 20
391063.55 5008395.5 20
391308.93 5008454.62 20
391554.4 5008514.48 20
391800.0 5008575.18 20
392045.74 5008636.83 20
392291.65 5008699.54 20
392529.28 5008760.64 20
392767.14 5008819.57 20
393005.47 5008873.07 20
393244.51 5008917.91 20
393484.5 5008950.86 20
393730.67 5008969.75 20
393977.74 5008974.79 20
394225.6 5008967.97 20
394474.12 5008951.27 20
394723.2 5008926.66 20
394972.71 5008896.13 20
395222.55 5008861.65 20
395472.59 5008825.2 20
383899.81 5007589.54 21
384143.91 5007510.79 21
384388.12 5007432.89 21
384632.66 5007356.68 21
384877.73 5007283.0 21
385123.53 5007212.7 21
385370.27 5007146.62 21
385618.14 5007085.61 21
385867.35 5007030.52 21
386118.1 5006982.18 21
386366.55 5006941.85 21
386616.26 5006908.79 21
386867.0 5006882.86 21
387118.5 5006863.97 21
387370.51 5006852.0 21
387622.79 5006846.85 21
387875.08 5006848.39 21
388127.12 5006856.52 21
388376.98 5006870.94 21
388626.22 5006891.24 21
388874.9 5006916.9 21
389123.03 5006947.43 21
389370.66 5006982.31 21
389617.81 5007021.03 21
389864.52 5007063.08 21
390110.83 5007107.96 21
390356.77 5007155.15 21
390602.37 5007204.15 21
390847.66 5007254.44 21
391103.47 5007307.87 21
391358.9 5007361.98 21
391614.08 5007416.6 21
391869.15 5007471.57 21
392124.23 5007526.71 21
380279.39 5006165.38 22
380522.61 5006161.92 22
380765.67 5006157.69 22
381008.49 5006151.89 22
381250.99 5006143.73 22
381493.09 5006132.41 22
381734.7 5006117.14 22
381975.75 5006097.14 22
382216.15 5006071.6 22
382455.83 5006039.72 22
382703.51 5005999.36 22
382950.07 5005951.79 22
383195.45 5005897.39 22
383439.57 5005836.57 22
383682.37 5005769.73 22
383923.76 5005697.27 22
384163.69 5005619.59 22
384402.07 5005537.08 22
384665.26 5005440.75 22
384927.44 5005342.77 22
385189.87 5005246.88 22
385453.8 5005156.82 22
385720.48 5005076.33 22
385981.42 5005010.25 22
386245.17 5004954.17 22
386511.04 5004905.6 22
386778.31 5004862.08 22
387046.28 5004821.1 22
387314.26 5004780.2 22
387581.52 5004736.89 22
387847.37 5004688.69 22
388111.1 5004633.11 22
388372.0 5004567.68 22
388629.37 5004489.91 22
388847.41 5004412.2 22
389063.26 5004327.23 22
389278.12 5004238.59 22
380928.14 5000887.64 23
381180.6 5000852.13 23
381433.06 5000816.87 23
381685.58 5000782.1 23
381938.21 5000748.08 23
382191.04 5000715.05 23
382444.13 5000683.26 23
382697.53 5000652.96 23
382951.33 5000624.4 23
383205.57 5000597.83 23
383460.34 5000573.49 23
383717.27 5000551.52 23
383974.54 5000532.44 23
384232.02 5000516.62 23
384489.6 5000504.44 23
384747.16 5000496.27 23
385004.58 5000492.5 23
385261.75 5000493.48 23
385518.55 5000499.6 23
385774.85 5000511.24 23
386030.55 5000528.76 23
386285.52 5000552.55 23
386540.58 5000582.95 23
386794.74 5000619.56 23
387048.08 5000661.91 23
387300.67 5000709.51 23
387552.58 5000761.88 23
387803.88 5000818.55 23
388054.65 5000879.04 23
388304.96 5000942.87 23
388554.89 5001009.57 23
